"Jan 24, 2018",,,,,,,,,,,,,,,9:28:03 AM,,,,,,
The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,
"Office of Institutional Reporting, Research, and Information Systems",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Flow by Major Progression Report ,,,,,,,,,,,,,,,,,,,,,
First Time in College (FTIC) Students ,,,,,,,,,,,,,,,,,,,,,
IPEDS (Fall and Summer Entrants Combined),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NATURAL SCIENCES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Entering Gender: ,,,,,,,,,,,Entering Residence: ,,,,,,,,,,
Entering Ethnicity/Race: ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Continuing Detail ,,,,,,,,,,,,,,,,,,,,,
"After One Year, After Two Years, etc. - Entering School/Major (in blue) - Ending (Flow) School/Major (in gray)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Columns - Cohort Year Semester (Entering) (Ex. 20119 = Fall 2011) by Years Lapsed > Entering School/Major > Major Short Title (Entering) > School/Major (Entering) > Flow Status > Ending (Flow) College/School  > Ending (Flow) Major Short Title > Ending (Flow) School/Major ,,,,,,,,,,,,,,,,,,,,,
Headcount,,,,,,,,20039,20049,20059,20069,20079,20089,20099,20109,20119,20129,20139,20149,20159,20169
,,,,,LIBERAL ARTS,AFR/AFR DIASPORA ,L03500,,,,,,,,,,,,,,1
,,,,,,ECONOMICS ,L31500,,,,,,,,,1,,,,,
,,,,,,ENGLISH ,L39300,,,,,,,,,1,,,,,
,,,,,,GEOGRAPHY ,L44300,,,,,,,,,,,,,3,
,,,,,,GOVERNMENT ,L47500,,,,,,,,,,1,1,,,
,,,,,,HISTORY ,L50600,,,,,,,,,,,,2,,
,,,,,,SOCIOLOGY ,L91700,,,,,,,,,,,,1,,
,,,,,,SUSTAIN STUDIES ,L91800,,,,,,,,,,,,,,2
,,,,,,UNDECLARED ,L00100,,,,,,,,,,,,1,,
,,,,,,URBAN STUDIES ,L94000,,,,,,,,,,,,1,,
,,,,,MCCOMBS SCHL OF BUSINESS,UNSPEC BUS (TRN) ,200401,,,,,,,,,1,2,,,,
,,,,,NURSING,NURSING -PREPROF ,N71605,,,,,,,,,,1,,,,
,,,,,UNDERGRADUATE STUDIES,UNDECLARED ,U00100,,,,,,,,,2,1,,,,1
,,,E27600,Continuing - Same Major,NATURAL SCIENCES,C S ENTRY-LEVEL ,E27600,,,,,51,46,49,71,,,,,,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,BIO BSBIO EEB ,E14100,,,,,,,1,,,,,,,
,,,,,,BIOCHEM ENTRY ,E13400,,,,,1,,2,1,,,,,,
,,,,,,BIOLOGY ENTRY ,E13900,,,,,,2,1,1,,,,,,
,,,,,,C S ENTRY-LEVEL ,E28400,,,,,,,,2,10,,,,,
,,,,,,CHEM (BSCH) CHEM ,E20900,,,,,,1,,,,,,,,
,,,,,,CHEMISTRY ENTRY ,E20500,,,,,1,,,1,,,,,,
,,,,,,COMPUTER SCI BA ,E28500,,,,,,,,,1,,,,,
,,,,,,COMPUTER SCI BS ,E28600,,,,,,,,24,5,,1,,,
,,,,,,COMPUTER SCIS BA ,E27700,,,,,4,2,,,,,,,,
,,,,,,COMPUTER SCIS BS ,E27800,,,,,14,31,35,4,,,,,,
,,,,,,CS (BSCS TURING) ,E28100,,,,,,,2,5,,,,,,
,,,,,,,E28800,,,,,,,,1,,,,,,
,,,,,,M BS PURE MATH ,E65700,,,,,,,1,,,,,,,
,,,,,,MATH BS MATH SCI ,E65600,,,,,,,,,1,,,,,
,,,,,,NTR ENTRY-LEVEL ,E71900,,,,,,1,,1,,,,,,
,,,,,,PHYSICS (BSPHY) ,E78900,,,,,,,,1,,,,,,
,,,,,,UMAP ,E00400,,,,,2,3,,3,,,,,,
,,,,,,UNDECLARED ,E00100,,,,,2,2,3,2,,,,,,
,,,,Cont - Another College,COCKRELL SCHL OF ENGINEERING,AEROSPACE ENGR ,404100,,,,,1,,,,,,,,,
,,,,,,PETROLEUM ENGR ,475100,,,,,,,,1,,,,,,
,,,,,COMMUNICATION,ADVERTISING LD ,C57100,,,,,,1,,1,,,,,,
,,,,,,CSD-SP/LG PT UD ,C95240,,,,,,,1,,,,,,,
,,,,,,RAD-TELE-FILM ,C85200,,,,,1,1,1,,,,,,,
,,,,,,RAD-TELE-FILM LD ,C85100,,,,,,1,,1,,,,,,
,,,,,EDUCATION,ALD-YOUTH & COMM ,335701,,,,,,,1,,,,,,,
,,,,,,HEALTH PROMOTION ,373000,,,,,,,1,,,,,,,
,,,,,,KINESIOLOGY ALL ,332343,,,,,1,,,,,,,,,
,,,,,,PHYS CULT/SPORTS ,373500,,,,,,,,1,,,,,,
,,,,,,PRE-ATHLTIC TRNG ,353000,,,,,,,1,,,,,,,
,,,,,FINE ARTS,DESIGN (B.F.A.) ,509954,,,,,,1,1,,,,,,,
,,,,,LIBERAL ARTS,ECONOMICS ,L31500,,,,,,1,,,,,,,,
,,,,,,GOVERNMENT ,L47500,,,,,,,,1,,,,,,
,,,,,,HISTORY ,L50600,,,,,,,,1,,,,,,
,,,,,,INTL REL/GLB STD ,L55000,,,,,,,,1,,,,,,
,,,,,,PSYCH (BSPSY) ,L84000,,,,,,,1,,,,,,,
,,,,,,PSYCHOLOGY (BA) ,L83500,,,,,1,,1,,,,,,,
,,,,,,RHETORIC/WRITING ,L85300,,,,,,1,,1,,,,,,
,,,,,,SOCIOLOGY ,L91700,,,,,,,,1,,,,,,
,,,,,,UNDECLARED ,L00100,,,,,,2,1,1,,,,,,
,,,,,MCCOMBS SCHL OF BUSINESS,UNSPEC BUS (TRN) ,200401,,,,,2,,1,,,,,,,
,,,,,UNDERGRADUATE STUDIES,UNDECLARED ,U00100,,,,,,,,1,,,,,,
,,,Major Subtotal,,,,,,,,,81,96,104,128,168,208,217,293,264,282
,,COMP SCI (BSA) ,E10600,Cont in Another Major - Same College,NATURAL SCIENCES,UNDECLARED ,E00100,,,,,,,,,,,,1,,
,,,Major Subtotal,,,,,,,,,,,,,,,,1,,
